ka kaa ki kee ku koo ke kae kai ko koa
kha khaa khi khee khu khoo khe khae khai kho khoa  
ga gaa gi gee gu goo ge gae gai go goa  
gha ghaa ghi ghee ghu ghoo ghe ghae ghai gho ghoa  
Ga Gaa Gi Gee Gu Goo Ge Gae Gai Go Goa  
cha chaa chi chee chu choo che chae chai cho choa  
Cha Chaa Chi Chee Chu Choo Che Chae Chai Cho Choa
ja jaa ji jee ju joo je jae jai jo joa
jha jhaa jhi jhee jhu jhoo jhe jhae jhai jho jhoa
nYa nYaa nYi nYee nYu nYoo nYe nYae nYai nYo nYoa
ta taa ti tee tu too te tae tai to toa
Ta Taa Ti Tee Tu Too Te Tae Tai To Toa
da daa di dee du doo de dae dai do doa
Da Daa Di Dee Du Doo De Dae Dai Do Doa
Na Naa Ni Nee Nu Noo Ne Nae Nai No Noa
tha thaa thi thee thu thoo the thae thai tho thoa
Tha Thaa Thi Thee Thu Thoo The Thae Thai Tho Thoa
dha dhaa dhi dhee dhu dhoo dhe dhae dhai dho dhoa
Dha Dhaa Dhi Dhee Dhu Dhoo Dhe Dhae Dhai Dho Dhoa
na naa ni nee nu noo ne nae nai no noa
pa paa pi pee pu poo pe pae pai po poa
pha phaa phi phee phu phoo phe phae phai pho phoa
ba baa bi bee bu boo be bae bai bo boa
bha bhaa bhi bhee bhu bhoo bhe bhae bhai bho bhoa
ma maa mi mee mu moo me mae mai mo moa
ya yaa yi yee yu yoo ye yae yai yo yoa
ra raa ri ree ru roo re rae rai ro roa
Ra Raa Ri Ree Ru Roo Re Rae Rai Ro Roa
la laa li lee lu loo le lae lai lo loa
La Laa Li Lee Lu Loo Le Lae Lai Lo Loa
va vaa vi vee vu voo ve vae vai vo voa
sha shaa shi shee shu shoo she shae shai sho shoa
Sha Shaa Shi Shee Shu Shoo She Shae Shai Sho Shoa
sa saa si see su soo se sae sai so soa
ha haa hi hee hu hoo he hae hai ho hoa
